epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,645.417,1.52664,2.26841,1.72787,0.46868,0.1064,0.1225,0.04961,2.5155,4.13163,2.56588,9.99664e-05,9.99664e-05,0.0667778
2,1248.69,1.19345,1.55474,1.45822,0.27693,0.15932,0.16074,0.0707,2.50562,3.6953,2.60705,0.000199918,0.000199918,0.0335444
3,1847.24,1.09082,1.36781,1.37843,0.36067,0.15094,0.15827,0.06522,2.39641,3.77025,2.44245,0.000299673,0.000299673,0.000310863
4,2445.23,1.0087,1.21305,1.31726,0.30786,0.14997,0.18089,0.0832,2.41926,3.31549,2.51238,0.000299341,0.000299341,0.000299341
5,3043.66,0.9586,1.11825,1.27983,0.35908,0.16776,0.20336,0.08312,2.29782,3.13122,2.39251,0.000298829,0.000298829,0.000298829
6,3642.99,0.91852,1.07692,1.25508,0.33284,0.20942,0.21653,0.08553,2.26766,3.08458,2.32068,0.000298172,0.000298172,0.000298172
7,4243.21,0.90028,1.0352,1.24169,0.39466,0.18457,0.19209,0.08554,2.3013,3.06707,2.26712,0.00029737,0.00029737,0.00029737
8,4843.01,0.86822,0.99255,1.22108,0.53107,0.15783,0.213,0.09243,2.25546,3.11048,2.25995,0.000296424,0.000296424,0.000296424
9,5443.07,0.85105,0.97511,1.20918,0.1982,0.25339,0.19428,0.09918,2.13887,3.25482,2.18902,0.000295335,0.000295335,0.000295335
10,6043.9,0.82667,0.92236,1.18875,0.2416,0.24467,0.19982,0.09755,2.26995,2.89675,2.24385,0.000294104,0.000294104,0.000294104
11,6644.58,0.81689,0.92315,1.18569,0.2485,0.23732,0.19378,0.09884,2.21388,3.00877,2.18199,0.000292732,0.000292732,0.000292732
12,7246.42,0.79462,0.90148,1.17815,0.25736,0.25595,0.23427,0.11548,2.18843,2.88957,2.18671,0.000291221,0.000291221,0.000291221
13,7834.87,0.77587,0.88157,1.16682,0.2464,0.26955,0.23227,0.11481,2.15378,2.93455,2.09629,0.000289572,0.000289572,0.000289572
14,8421.76,0.75434,0.85765,1.15545,0.17884,0.2486,0.24425,0.11147,2.20805,2.88948,2.16248,0.000287787,0.000287787,0.000287787
15,9010.19,0.74706,0.84271,1.15051,0.24655,0.265,0.21955,0.10758,2.07312,2.86574,2.09023,0.000285867,0.000285867,0.000285867
16,9597.78,0.73263,0.8267,1.14729,0.2181,0.2668,0.21528,0.11168,2.15546,2.75993,2.1641,0.000283814,0.000283814,0.000283814
17,10186,0.71893,0.80593,1.13337,0.3313,0.26242,0.25725,0.12814,2.12448,2.72043,2.124,0.000281632,0.000281632,0.000281632
18,10773.5,0.71102,0.79782,1.13153,0.30936,0.26578,0.24926,0.11953,2.07709,2.84886,2.06204,0.00027932,0.00027932,0.00027932
19,17691.4,0.7086,0.78918,1.1238,0.32301,0.27441,0.25272,0.12695,2.1309,2.74917,2.09409,0.000276883,0.000276883,0.000276883
20,18293.5,0.70013,0.78014,1.12687,0.22939,0.22991,0.22545,0.11678,2.07815,2.74805,2.07723,0.000274321,0.000274321,0.000274321
