epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.638,2.38426,3.90735,2.58701,0.48598,0.13317,0.11059,0.04817,2.31586,3.34718,2.5945,9.99559e-05,9.99559e-05,0.0667813
2,1071.83,2.20197,3.37054,2.43625,0.41674,0.12103,0.13358,0.06115,2.22171,3.32717,2.49245,0.000199934,0.000199934,0.033548
3,1643.44,2.08638,3.11395,2.32331,0.2742,0.2154,0.1692,0.08526,2.05526,3.00935,2.33021,0.000299826,0.000299826,0.000314523
4,2222.32,1.98423,2.85912,2.23359,0.34897,0.26028,0.24344,0.12163,1.94142,2.65259,2.25464,0.000299707,0.000299707,0.000299707
5,2841.79,1.88507,2.58744,2.14213,0.30999,0.29742,0.25998,0.13791,1.85815,2.57333,2.16568,0.000299479,0.000299479,0.000299479
6,3465.88,1.78389,2.39781,2.05467,0.54048,0.26198,0.29102,0.16324,1.79434,2.344,2.10766,0.000299187,0.000299187,0.000299187
7,4046,1.69598,2.21566,1.97008,0.39187,0.29941,0.32013,0.17766,1.74245,2.24103,2.05498,0.000298829,0.000298829,0.000298829
8,4626.05,1.61533,2.07844,1.90389,0.39941,0.32286,0.33228,0.18987,1.71688,2.15537,2.02744,0.000298407,0.000298407,0.000298407
9,5196.36,1.53956,1.93523,1.83414,0.4788,0.32152,0.34732,0.20348,1.66348,2.09215,1.9991,0.00029792,0.00029792,0.00029792
10,5777.78,1.47015,1.81082,1.76869,0.43231,0.34064,0.3644,0.2105,1.63604,2.01342,1.96178,0.00029737,0.00029737,0.00029737
11,6362.04,1.4053,1.71262,1.7158,0.47275,0.3719,0.37728,0.22332,1.5613,1.94438,1.89956,0.000296755,0.000296755,0.000296755
12,6945.79,1.33696,1.60627,1.64945,0.42532,0.3532,0.36268,0.21673,1.58564,1.93446,1.92668,0.000296076,0.000296076,0.000296076
13,7524.34,1.28032,1.52221,1.60291,0.45089,0.36574,0.38331,0.22607,1.57691,1.88005,1.93399,0.000295335,0.000295335,0.000295335
14,8093.27,1.22207,1.42468,1.55263,0.50162,0.37514,0.40366,0.24535,1.5337,1.87146,1.89251,0.00029453,0.00029453,0.00029453
15,8610.03,1.16412,1.34267,1.50349,0.49617,0.37453,0.38362,0.23635,1.52989,1.84446,1.88549,0.000293662,0.000293662,0.000293662
16,9127.19,1.11618,1.27396,1.46189,0.50467,0.38217,0.40555,0.24723,1.51137,1.82631,1.87146,0.000292732,0.000292732,0.000292732
17,9645.41,1.07232,1.20301,1.4236,0.52932,0.37685,0.39955,0.24234,1.52178,1.85976,1.89146,0.00029174,0.00029174,0.00029174
18,10164.2,1.0248,1.13449,1.38443,0.52053,0.36132,0.40437,0.24389,1.53777,1.87027,1.92024,0.000290686,0.000290686,0.000290686
